Country,Confirmed,Deaths,Recovered,Active,Longitude,Latitude,DeathRatio
Afghanistan,1936390,49098,798240,1089052,12729.471164,6380.55268,0.025355429433120392
Albania,196702,5708,118877,72117,3791.6403999999998,7736.8204000000005,0.02901851531758701
Algeria,1179755,77972,755897,345886,312.0048,5270.3732,0.06609168852855042
Andorra,94404,5423,69074,19907,286.0984,7991.184400000001,0.057444599805093005
Angola,22662,1078,6573,15011,3360.2931999999996,-2106.1076,0.04756861706821993
Antigua and Barbuda,4487,326,2600,1561,-11617.7232,3207.4304,0.07265433474481836
Argentina,4450658,97749,1680024,2672885,-11959.9396,-7222.2268,0.021962819879667233
Armenia,1587173,27089,857482,702602,8467.1816,7532.9908,0.01706745263433791
Australia,960247,11387,711928,236932,212598.6532,-48287.8376,0.011858407263964376
Austria,2034986,71390,1638380,325216,2735.4188,8933.0456,0.03508132242678819
Azerbaijan,1134717,14282,703402,417033,8944.4572,7546.9028,0.012586398194439671
Bahamas,12100,1203,6047,4850,-14670.747132,4704.8663799999995,0.09942148760330578
Bahrain,1755206,5115,1334787,415304,9503.4,4893.17,0.002914187850315006
Bangladesh,8754729,115633,3714702,4924394,16986.9844,4452.78,0.013208061608760249
Barbados,10652,738,7444,2470,-11194.1216,2480.4532,0.06928276380022531
Belarus,4426759,28391,2771925,1626443,5255.2392,10097.4424,0.0064134957425963325
Belgium,6281116,963679,1627492,3689945,840.3479679999999,9556.6604,0.15342480540082368
Belize,2636,222,1618,796,-16637.5488,3231.7012000000004,0.08421851289833081
Benin,64406,1095,25911,37400,435.37039999999996,1749.8476,0.017001521597366703
Bhutan,4971,0,2838,2133,17001.5168,5172.6696,0.0
Bolivia,2170351,78032,571653,1520666,-11954.6756,-3062.5575999999996,0.03595363146329787
Bosnia and Herzegovina,396634,16373,207156,173105,3323.6708,8256.1892,0.04127987010694999
Botswana,15306,120,2291,12895,4640.7612,-4197.758,0.007840062720501764
Brazil,89524967,3938034,54492873,31094060,-9761.9564,-2676.18,0.04398810892608316
Brunei,18168,226,15262,2680,21568.8076,852.6364000000001,0.012439453985028623
Bulgaria,410722,17654,182621,210447,4791.3304,8033.973199999999,0.042982844843957715
Burkina Faso,96153,5583,74876,15694,-293.5808,2300.8004,0.058063710960656455
Burma,25188,639,15476,9073,18039.728,4120.2456,0.025369223439733208
Burundi,11351,106,7361,3884,5624.7532,-634.1428,0.009338384283323056
Cabo Verde,82732,854,38253,43625,-4331.8584,3109.2943999999998,0.010322487066673113
Cambodia,17079,0,13917,3162,19724.3396,2171.4,0.0
Cameroon,844817,22354,588941,233522,2162.3948,723.424,0.026460168296802738
Canada,9356551,699566,0,8656985,-210464.1764,120048.49040000001,0.07476750781350949
Central African Republic,198659,2010,43318,153331,3936.6072,1242.8868,0.01011784011799113
Chad,64226,5523,48059,10644,3521.6535999999996,2905.3896,0.08599321147198953
Chile,16935654,322480,13292593,3320581,-13450.084,-6706.9188,0.019041484905159257
China,14132002,672413,11466866,1992723,693520.2876,204034.9524,0.047580873537946
Colombia,6893122,236525,2823811,3832786,-13967.8924,859.3292,0.03431318929216689
Comoros,15823,337,11473,4013,8146.660400000001,-2189.354,0.021298110345699298
Congo (Brazzaville),101609,2696,29132,69781,2975.6076,-42.864000000000004,0.02653308269936718
Congo (Kinshasa),427604,10888,135073,281643,4090.6356,-759.2004,0.025462811386235865
Costa Rica,347151,2037,116642,228472,-15745.6392,1832.7932,0.005867763595668743
Cote d'Ivoire,611062,4717,309368,296977,-1042.8548,1417.52,0.007719347627572979
Croatia,299218,10372,213360,75486,2857.6,8478.800000000001,0.03466369001864861
Cuba,216346,8145,170780,37421,-14622.859396000005,4046.0903160000003,0.037648026771930146
Cyprus,107176,1962,65254,39960,6284.8212,6603.763199999999,0.018306337239680524
Czechia,1146758,33364,651140,462254,2908.924,9365.69,0.02909419424150518
Denmark,1305978,60602,1057021,188355,486.91999999999996,22213.422,0.046403538191301844
